,loss,output_days_remaining_loss,output_next_unit_loss,output_days_remaining_mean_absolute_error,output_next_unit_top_k_categorical_accuracy,val_loss,val_output_days_remaining_loss,val_output_next_unit_loss,val_output_days_remaining_mean_absolute_error,val_output_next_unit_top_k_categorical_accuracy
0,2.9949679374694824,10.94300651550293,1.0079562664031982,2.4925947189331055,0.8716204762458801,2.8323328495025635,10.820505142211914,0.8352891206741333,2.3762757778167725,0.8992805480957031
1,2.7674174308776855,10.387530326843262,0.862386167049408,2.4206721782684326,0.9018454551696777,2.7454094886779785,10.504767417907715,0.805570662021637,2.3954970836639404,0.9041804671287537
2,2.701402187347412,10.133211135864258,0.8434509038925171,2.3896493911743164,0.9045460820198059,2.7566757202148438,10.592875480651855,0.7976240515708923,2.3647124767303467,0.9056192636489868
3,2.645078420639038,9.895198822021484,0.8325477838516235,2.3581902980804443,0.906028151512146,2.723489761352539,10.441559791564941,0.7939702868461609,2.3772153854370117,0.9060470461845398
4,2.5976364612579346,9.677260398864746,0.8277389407157898,2.329129695892334,0.906576931476593,2.7426538467407227,10.539377212524414,0.7934749126434326,2.354484796524048,0.9070581197738647
5,2.5564353466033936,9.49034309387207,0.8229553699493408,2.3051199913024902,0.907173216342926,2.784116268157959,10.75719165802002,0.7908486127853394,2.344581127166748,0.9067081212997437
6,2.521348714828491,9.322446823120117,0.821082353591919,2.2808406352996826,0.9070954322814941,2.756512403488159,10.611042022705078,0.7928812503814697,2.340299606323242,0.9060081839561462
7,2.4962940216064453,9.205577850341797,0.8189688324928284,2.264207363128662,0.9073632955551147,2.7771573066711426,10.71282958984375,0.7932457327842712,2.3901877403259277,0.9078359007835388
8,2.4755642414093018,9.103535652160645,0.8185768127441406,2.250397205352783,0.9075491428375244,2.7578210830688477,10.628308296203613,0.7901995182037354,2.3682591915130615,0.9074859023094177
9,2.454251766204834,9.006685256958008,0.8161463737487793,2.2342922687530518,0.9072552919387817,2.7699925899505615,10.664512634277344,0.7963646054267883,2.3751871585845947,0.9070970416069031
